"Method Name",MLOC
javax.imageio.ImageReader#checkReadParamBandSettings(javax.imageio.ImageReadParam int int),36
javax.imageio.ImageReader#getDestination(javax.imageio.ImageReadParam java.util.Iterator<javax.imageio.ImageTypeSpecifier> int int),67
javax.imageio.ImageTranscoder#convertStreamMetadata(javax.imageio.metadata.IIOMetadata javax.imageio.ImageWriteParam),2
javax.imageio.ImageTranscoder#convertImageMetadata(javax.imageio.metadata.IIOMetadata javax.imageio.ImageTypeSpecifier javax.imageio.ImageWriteParam),3
javax.imageio.ImageTypeSpecifier#createPacked(java.awt.color.ColorSpace int int int int int boolean),16
javax.imageio.ImageTypeSpecifier#createComponentCM(java.awt.color.ColorSpace int int boolean boolean),22
javax.imageio.ImageTypeSpecifier#createInterleaved(java.awt.color.ColorSpace int[] int boolean boolean),12
javax.imageio.ImageTypeSpecifier#createBanded(java.awt.color.ColorSpace int[] int[] int boolean boolean),14
javax.imageio.ImageTypeSpecifier#createGrayscale(int int boolean),10
javax.imageio.ImageTypeSpecifier#createGrayscale(int int boolean boolean),11
javax.imageio.ImageTypeSpecifier#createIndexed(byte[] byte[] byte[] byte[] int int),14
javax.imageio.ImageTypeSpecifier#createFromBufferedImageType(int),11
javax.imageio.ImageTypeSpecifier#createFromRenderedImage(java.awt.image.RenderedImage),15
javax.imageio.ImageTypeSpecifier#getBufferedImageType(),4
javax.imageio.ImageTypeSpecifier#getNumComponents(),3
javax.imageio.ImageTypeSpecifier#getNumBands(),3
javax.imageio.ImageTypeSpecifier#getBitsPerBand(int),6
javax.imageio.ImageTypeSpecifier#getSampleModel(),3
javax.imageio.ImageTypeSpecifier#getSampleModel(int int),7
javax.imageio.ImageTypeSpecifier#getColorModel(),3
javax.imageio.ImageTypeSpecifier#createBufferedImage(int int),15
javax.imageio.ImageTypeSpecifier#equals(java.lang.Object),9
javax.imageio.ImageTypeSpecifier#hashCode(),3
javax.imageio.ImageTypeSpecifier#getSpecifier(int),6
javax.imageio.ImageTypeSpecifier#createSpecifier(int),117
javax.imageio.ImageWriteParam#clonePreferredTileSizes(java.awt.Dimension[]),10
javax.imageio.ImageWriteParam#getLocale(),3
javax.imageio.ImageWriteParam#canWriteTiles(),3
javax.imageio.ImageWriteParam#canOffsetTiles(),3
javax.imageio.ImageWriteParam#setTilingMode(int),12
javax.imageio.ImageWriteParam#getTilingMode(),6
javax.imageio.ImageWriteParam#getPreferredTileSizes(),6
javax.imageio.ImageWriteParam#setTiling(int int int int),42
javax.imageio.ImageWriteParam#unsetTiling(),13
javax.imageio.ImageWriteParam#getTileWidth(),12
javax.imageio.ImageWriteParam#getTileHeight(),12
javax.imageio.ImageWriteParam#getTileGridXOffset(),12
javax.imageio.ImageWriteParam#getTileGridYOffset(),12
javax.imageio.ImageWriteParam#canWriteProgressive(),3
javax.imageio.ImageWriteParam#setProgressiveMode(int),14
javax.imageio.ImageWriteParam#getProgressiveMode(),7
javax.imageio.ImageWriteParam#canWriteCompressed(),3
javax.imageio.ImageWriteParam#setCompressionMode(int),13
javax.imageio.ImageWriteParam#getCompressionMode(),7
javax.imageio.ImageWriteParam#getCompressionTypes(),10
javax.imageio.ImageWriteParam#setCompressionType(java.lang.String),30
javax.imageio.ImageWriteParam#getCompressionType(),11
javax.imageio.ImageWriteParam#unsetCompression(),12
javax.imageio.ImageWriteParam#getLocalizedCompressionTypeName(),14
javax.imageio.ImageWriteParam#isCompressionLossless(),15
javax.imageio.ImageWriteParam#setCompressionQuality(float),17
javax.imageio.ImageWriteParam#getCompressionQuality(),15
javax.imageio.ImageWriteParam#getBitRate(float),18
javax.imageio.ImageWriteParam#getCompressionQualityDescriptions(),15
javax.imageio.ImageWriteParam#getCompressionQualityValues(),15
javax.imageio.ImageWriter#getOriginatingProvider(),3
javax.imageio.ImageWriter#setOutput(java.lang.Object),20
javax.imageio.ImageWriter#getOutput(),3
javax.imageio.ImageWriter#getAvailableLocales(),4
javax.imageio.ImageWriter#setLocale(java.util.Locale),18
javax.imageio.ImageWriter#getLocale(),3
javax.imageio.ImageWriter#getDefaultWriteParam(),3
